"","Location","lat","lng","location","screen_name","username","user_id","tweet_id","timestamp","timestamp_epochs","text","requesting_help","disaster","languages"
"1","Omaha, NE, USA",41.2565369,-95.9345034,"Omaha, Ne ","JoshuaBrunken","Joshua Brunken-",1485218402,1166110513820028928,"2019-08-26 22:09:46",1566857386,"regarding aka i hopw it dont turn into i hope  and others in florida and georgia louisiana alabama mississippi stay well and be well",0,"hurricane","en"
"2","Orlando, FL, USA",28.5383355,-81.3792365,"Orlando, FL","profraycaputo","ray caputo",100254463,1165949716389142528,"2019-08-26 11:30:49",1566819049,"our top stories on the summit wraps up today china says it wants to talk again about trade its the st day of classes for students including those at the new downtown campus and could soon be w fl in its path",0,"hurricane","en"
"3","Toronto, ON, Canada",43.653226,-79.3831843,"Toronto, Ontario, Canada","BD007Marky","Global Agenda",2358699408,1173022176531943424,"2019-09-14 23:54:15",1568505255,"new video by hurricane dorian predictictive programming in literature the invisible death by victor rousseau",0,"hurricane","en"
"4","Warner Robins, GA, USA",32.6130007,-83.624201,"Warner Robins, GA","FBBC31093","Fellowship Bible Baptist Church",2611901610,1173018076784336896,"2019-09-14 23:37:57",1568504277,"family youve already contributed so much for us to aid those who were affected by if you would like to aid us simply lay your contribution at the altar tomorrow at am we ask that you would refrain from sending clothes however  at fellowship bible baptist church",1,"hurricane","en"
"5","Durham, NC, USA",35.9940329,-78.898619,"Durham, NC","RebuildChurchNC","Rebuild Fellowship Church",975109530429394944,1173017073573859328,"2019-09-14 23:33:58",1568504038,"the work continues hurricane dorian relief collection sunday  pm",0,"hurricane","en"
"6","Berlin, Germany",52.5200066,13.404954,"Berlin, Germany","RealMiBaWi","Michael Barthel",86606520,1172953913215127552,"2019-09-14 19:22:59",1568488979,"meet the cats who survived the bahamas hurricane now theyre in and need your help",1,"hurricane","en"
"7","Jupiter, FL, USA",26.9342246,-80.0942087,"Jupiter, FL","MeyerLucasRE","MEYER LUCAS team at Compass | real estate • design",804381991114276864,1172907486250262528,"2019-09-14 16:18:30",1568477910,"have you been considering investing in hurricane impact windows or shutters after the recent hurricane weve broken down all of the pros and cons of each option in our latest post",0,"hurricane","en"
"8","Miami, FL, USA",25.7616798,-80.1917902,"Miami, FL","taco_marine","TACO Marine",3432031330,1172897112121577472,"2019-09-14 15:37:17",1568475437,"additionally we are collecting new and gently used clothing which is being donated to",1,"hurricane","en"
"9","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
"10","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
"11","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
"12","Devon, UK",50.7155591,-3.530875,"Devon UK","Goatys_News","GOATY'S NEWS (UK)🇬🇧",342772619,1172863709452099584,"2019-09-14 13:24:33",1568467473,"new storm to hit two weeks after",0,"hurricane","en"
"13","New York, NY, USA",40.7127753,-74.0059728,"New York, NY","JoshX1993","Joshua Albarran",189942678,1172862693134544896,"2019-09-14 13:20:31",1568467231,"good reporting extensively on rescue efforts in the bahamas after the devastation left by",0,"hurricane","en"
"14","Nova Scotia, Canada",44.6819866,-63.744311,"Nova Scotia, Canada","PivotalCoaching","Pivotal Coaching",821046788094300160,1172838675576774656,"2019-09-14 11:45:05",1568461505,"with the crazy weather we experienced on the east coast from we were so appreciative of the beautiful sunshine we had all week",0,"hurricane","en"
"15","İstanbul, Turkey",41.0082376,28.9783589,"Istanbul, Turkey","gagavuzz","mahir bıyıklı",243099225,1172825888821567488,"2019-09-14 10:54:16",1568458456,"tropical weather outlook nws national hurricane center miami fl am edt sat sep",0,"hurricane","en"
"16","Canada",56.130366,-106.346771,"Canada","RCN_DawgSoldier","RCN DawgSoldier🇨🇦",962147211953016832,1172814787870363648,"2019-09-14 10:10:09",1568455809,"sorry i havent be active works been busy since hit halifax but heres some motivation",0,"hurricane","en"
"17","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA ","IAmChrisShorts","Chris Shorts",807715716484853760,1172715746759204864,"2019-09-14 03:36:36",1568432196,"why is it storming in atlanta i thought was long gone",0,"hurricane","en"
"18","Alexandria, VA, USA",38.8048355,-77.0469214,"Alexandria, VA","Harper334036","Trumpin' TEXT TRUMP TO 88022",760263090503950208,1167224964656828416,"2019-08-29 23:58:12",1567123092,"thank you president trump",0,"hurricane","en"
"19","Washington, DC, USA",38.9071923,-77.0368707,"Washington DC","breaknlinks","BL-News | English",1050804894133874560,1172400060849516544,"2019-09-13 06:42:11",1568356931,"bahamians look for loved ones as  missing after dorian",1,"hurricane","en"
"20","Portland, OR, USA",45.5051064,-122.6750261,"Portland, OR","NobodyKnewPod","Nobody Knew?",8.6e+17,1.21e+18,"12/19/19 2:32",1576722727,"for a number of reasons the other types of insurance you listed do not make good parallels to health insurance and need not be administered by the govt a much better parallel is flood insurance in louisiana",0,"floods","en"
"21","Denham Springs, LA, USA",30.4868564,-90.9562125,"Denham Springs, LA","Williem60552109","Williemcdonald",9.78e+17,1.05e+18,"10/22/18 18:49",1540234189,"im a disabled veteran that lost everything in the flood here in louisiana in wife is also disabled everything we owned was paid for we had to replace our home and our now we have to start all over again we need about  to pay",1,"floods","en"
"22","Denham Springs, LA, USA",30.4868564,-90.9562125,"Denham Springs, LA","Williem60552109","Williemcdonald",9.78e+17,1.05e+18,"10/18/18 13:36",1539869813,"my wife and i are both disabled and need help to pay off our mobile home and our car that we had to get after the flood of here in louisiana my gofundme account williemcdonald com",1,"floods","en"
"23","Denham Springs, LA, USA",30.4868564,-90.9562125,"Denham Springs, LA","Williem60552109","Williemcdonald",9.78e+17,1.05e+18,"10/22/18 18:49",1540234189,"im a disabled veteran that lost everything in the flood here in louisiana in wife is also disabled everything we owned was paid for we had to replace our home and our now we have to start all over again we need about  to pay",1,"floods","en"
"24","Denham Springs, LA, USA",30.4868564,-90.9562125,"Denham Springs, LA","Williem60552109","Williemcdonald",9.78e+17,1.05e+18,"10/18/18 13:36",1539869813,"my wife and i are both disabled and need help to pay off our mobile home and our car that we had to get after the flood of here in louisiana my gofundme account williemcdonald com",1,"floods","en"
"25","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","imconleyidk","conley 🦒",3591895876,1.11e+18,"3/19/19 7:18",1552979905,"don t move south i m from south louisiana and the reason everyone drives trucks isn t because it floods every time it rains but the roads are so bad you need the grown clearance because it would fuck up a small car the potholes fuck you so hard you call them daddy",0,"floods","en"
"26","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","gmezz35","trace",427939109,1.14e+18,"6/6/19 17:56",1559843814,"imma need louisiana to stop i m too poor for flood insurance",0,"floods","en"
"27","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","AQEnvironmental","AQ Environmental",2500079881,1191574395946274816,"2019-11-05 04:34:09",1572928449,"delivering in sonoma county to reduce the damage in buildings we and buildings",0,"fire","en"
"28","Atlanta, GA, USA",33.7489954,-84.3879824,"Atlanta, GA","chakrabomb","Bomb🧘🏿‍♀️💣",127573281,1.13e+18,"5/22/19 6:07",1558505276,"i was mad about having a downstairs apartment because im in louisiana and it floods easy but now that its getting hot im so happy lol i dont need to turn on my ac for shit",0,"floods","en"
"29","Louisiana, USA",30.9842977,-91.9623327,"Louisiana, USA","Chris_LaVey_","Chris LaVey",2816547727,1.12e+18,"4/18/19 15:24",1555601094,"back in most of southeast louisiana was flooded it came out of nowhere ever since our weather channel seems to have developed some trauma as theyve been hyper vigilant about any storm system that rolls in hey news i dont need a flood warning every minutes chill",0,"floods","en"
"30","Louisiana, USA",30.9842977,-91.9623327,"Louisiana, USA","EddieeDaBosssss","EddieeDaBoss",9.73e+17,1.15e+18,"7/12/19 5:14",1562908457,"need prayers for all national guard units that have to work the flood in louisiana we have lives to but here to protect serve including myself have to leave out",1,"floods","en"
"31","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","imconleyidk","conley 🦒",3591895876,1.11e+18,"3/19/19 7:18",1552979905,"don t move south i m from south louisiana and the reason everyone drives trucks isn t because it floods every time it rains but the roads are so bad you need the grown clearance because it would fuck up a small car the potholes fuck you so hard you call them daddy",0,"floods","en"
"32","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","gmezz35","trace",427939109,1.14e+18,"6/6/19 17:56",1559843814,"imma need louisiana to stop i m too poor for flood insurance",0,"floods","en"
"33","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA","AQEnvironmental","AQ Environmental",2500079881,1191574395946274816,"2019-11-05 04:34:09",1572928449,"delivering in sonoma county to reduce the damage in buildings we and buildings",0,"fire","en"
"34","Lafayette Square, Los Angeles, CA 90019, USA",34.0430556,-118.3319444,"Lafayette, Los Angeles, CA","badmews","leiasbian",16746950,1.15e+18,"7/13/19 16:15",1563034510,"south louisiana if you are trapped in flood waters and need help call the cajun navy louisiana storm patrol at",0,"floods","en"
"35","United States",37.09024,-95.712891,"United States","phillipkntsher","Phillipkntsher",1.04e+18,1.15e+18,"7/12/19 12:14",1562933646,"as a precaution or as they say to save your own life these warnings of that hurricane in the tropical advisories for those in the mississippi valley in louisiana rush preparations where they say that you need to evacuate do so the rains and floods could be extreme thank you",0,"floods","en"
"36","United States",37.09024,-95.712891,"United States","JennieAHolland","JesusTheOnlySaviour",3182288394,1.15e+18,"7/11/19 21:13",1562879616,"louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters",1,"floods","en"
"37","United States",37.09024,-95.712891,"United States","distressline","Disaster Distress",211543116,1192860962501603328,"2019-11-08 17:46:30",1573235190,"were here  at",0,"fire","en"
"38","United States",37.09024,-95.712891,"United States","bettycjung","Betty C. Jung",118788479,1191543679061823488,"2019-11-05 02:32:05",1572921125,"false color view of the burn scar from the as it appeared on october",0,"fire","en"
"39","Ohio, USA",40.4172871,-82.907123,"Ohio","The_BoogsterB","EL-LOCO 😜♊️",2902144152,1.15e+18,"7/12/19 11:01",1562929303,"i just told someone sunday that i need to learn how to swim soon cuz floods were coming now look at louisiana smh",0,"floods","en"
"40","Louisiana, USA",30.9842977,-91.9623327,"Louisiana, USA","Chris_LaVey_","Chris LaVey",2816547727,1.12e+18,"4/18/19 15:24",1555601094,"back in most of southeast louisiana was flooded it came out of nowhere ever since our weather channel seems to have developed some trauma as theyve been hyper vigilant about any storm system that rolls in hey news i dont need a flood warning every minutes chill",0,"floods","en"
"41","Louisiana, USA",30.9842977,-91.9623327,"Louisiana, USA","EddieeDaBosssss","EddieeDaBoss",9.73e+17,1.15e+18,"7/12/19 5:14",1562908457,"need prayers for all national guard units that have to work the flood in louisiana we have lives to but here to protect serve including myself have to leave out",1,"floods","en"
"42","United States",37.09024,-95.712891,"United States","phillipkntsher","Phillipkntsher",1.04e+18,1.15e+18,"7/12/19 12:14",1562933646,"as a precaution or as they say to save your own life these warnings of that hurricane in the tropical advisories for those in the mississippi valley in louisiana rush preparations where they say that you need to evacuate do so the rains and floods could be extreme thank you",0,"floods","en"
"43","United States",37.09024,-95.712891,"United States","JennieAHolland","JesusTheOnlySaviour",3182288394,1.15e+18,"7/11/19 21:13",1562879616,"louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters",1,"floods","en"
"44","United States",37.09024,-95.712891,"United States","distressline","Disaster Distress",211543116,1192860962501603328,"2019-11-08 17:46:30",1573235190,"were here  at",0,"fire","en"
"45","United States",37.09024,-95.712891,"United States","bettycjung","Betty C. Jung",118788479,1191543679061823488,"2019-11-05 02:32:05",1572921125,"false color view of the burn scar from the as it appeared on october",0,"fire","en"
"46","Pittsburgh, PA, USA",40.4406248,-79.9958864,"Pittsburgh, PA","kort_rob","Rob Kort",9.93e+17,1.15e+18,"7/11/19 17:44",1562867076,"should a save that million dollars to help with the flood victims that are going to need assistance in louisiana instead of wasting it on americas dictators parade on the th of july",0,"floods","en"
"47","Belleville, NJ, USA",40.7936744,-74.1500469,"Belleville, NJ","Bahlonee","Anton Lavelle",19835975,1.15e+18,"7/11/19 11:07",1562843243,"hi hot ness it mystifies me why anyone would live in southern louisiana don t need hurricanes to get flooded constant floods",0,"floods","en"
"48","Fort Lee, NJ 07024, USA",40.8509333,-73.9701381,"Fort Lee, FL","johnhhaskell","Tintin au Pays des Soviets",169931230,1.15e+18,"7/11/19 4:52",1562820733,"if your drivers license says louisiana on it you need to have flood insurance",0,"floods","en"
"49","Austin, TX, USA",30.267153,-97.7430608,"Austin, TX","sarahstyles","sarah tullier",6446782,1.15e+18,"7/10/19 18:18",1562782682,"on our way to louisiana for a week pray it doesn t flood or do any serious damage there s a serious storm hurricane of some sort coming we don t need this also going do some work on my house",0,"floods","en"
"50","Austin, TX, USA",30.267153,-97.7430608,"Austin, TX","Friendly_Force","FriendlyForce_Live",1086057754245116032,1191758749284872192,"2019-11-05 16:46:42",1572972402,"join friendlyforce today",0,"fire","en"
"51","Staten Island, NY, USA",40.5795317,-74.1502007,"Staten Island, NY","mbender224","Maria B",8.26e+17,1.17e+18,"8/31/19 22:40",1567291246,"farmers need your support now more than ever president trump i m sure you are aware all crops were destroyed by floods this season especially in nebraska frames are hurtin",1,"floods","en"
"52","Omaha, NE, USA",41.2565369,-95.9345034,"Omaha, Ne","Tammy8156","Tammy Russell",317597216,1.19e+18,"10/21/19 23:53",1571701999,"should we forget about what we need here just to keep handing over a bunch of money we have provided a lot to pr what about us that lives in nebraska and went through a flood there are other states that need aid too and we havent just spent the money",0,"floods","en"
"53","Nebraska, USA",41.4925374,-99.9018131,"Nebraska, USA","CcloverFarms","CClover Farms",1.11e+18,1.21e+18,"12/29/19 15:28",1577633327,"after a year of floods on our farm it would look good on our farm which is in nebraska thank you for doing this giveaway there are many people that need",0,"floods","en"
"54","Nebraska, USA",41.4925374,-99.9018131,"Nebraska, USA","UNLNutritionEd","UNL Nutrition Ed",4038033498,1.13e+18,"5/14/19 15:16",1557846991,"whether its a flash flood or a slow onset flood excessive amounts of water can cause significant damage from nebraska extension is your trusted source for flood related information campus county based experts ready to help you get the answers you need",0,"floods","en"
"55","Nebraska, USA",41.4925374,-99.9018131,"Nebraska, USA","CcloverFarms","CClover Farms",1.11e+18,1.21e+18,"12/29/19 15:28",1577633327,"after a year of floods on our farm it would look good on our farm which is in nebraska thank you for doing this giveaway there are many people that need",0,"floods","en"
"56","Nebraska, USA",41.4925374,-99.9018131,"Nebraska, USA","UNLNutritionEd","UNL Nutrition Ed",4038033498,1.13e+18,"5/14/19 15:16",1557846991,"whether its a flash flood or a slow onset flood excessive amounts of water can cause significant damage from nebraska extension is your trusted source for flood related information campus county based experts ready to help you get the answers you need",0,"floods","en"
"57","Beatrice, NE 68310, USA",40.2659269,-96.7466913,"Beatrice, NE","Riley12Ann","Ann Riley",1653932706,1.12e+18,"4/15/19 0:15",1555287314,"maybe flood clean up that hit most of nebraska some of the nebraska peeps just need a day of enjoyment of husker football",0,"floods","en"
"58","Le Mars, IA 51031, USA",42.7941567,-96.1655778,"LeMars, IA","Rahn18","Gabe Rahn",437964856,1.12e+18,"4/14/19 21:29",1555277374,"no one ever said it does the spring game yesterday was all about raising money for nebraska flood relief no need to take shots man",0,"floods","en"
"59","Grand Island, NE, USA",40.9263957,-98.3420118,"Grand Island, Nebraska","MulticulturalGI","MCofGI",34712033,1.11e+18,"4/5/19 21:01",1554498090,"we want to thank sierra club and grand island community foundation donors for their flood relief donations if you know immigrant or newcomer families living in central nebraska who need assistance with recovery have them call the office at",0,"floods","en"
"60","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles","Daveveng","Dave Venghaus",26066390,1.11e+18,"3/17/19 22:53",1552863232,"i always donate to anyone in need in america especially for those affected by natural disasters thanks for sharing about nebraska floods suggest but that doesn t mean we cannot help those in need globally respect for you bringing up floods",0,"floods","en"
"61","Corpus Christi, TX, USA",27.8005828,-97.396381,"Corpus Christi, TX","SFKevin4","SF.Kevin",1.08e+18,1.11e+18,"3/17/19 7:24",1552807499,"i would much rather hear about the deaths and destruction our own americans are suffering through with the massive floods in nebraska the people who lost homes animals and family that need prayers and help",1,"floods","en"
"62","Fremont, NE 68025, USA",41.4333909,-96.4981467,"Fremont, NE","threerivers_ph","Three Rivers Public Health",4714971972,1.11e+18,"3/16/19 15:45",1552751113,"shelter update am if you are in need of shelter please go to fremont nazareen church at johnson road fremont ne",1,"floods","en"
"63","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"64","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"65","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"66","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"67","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"68","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"69","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"70","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
"71","Hong Kong",22.3193039,114.1693611,"Hong Kong","zxyfinancial","zxfutures",1240485961,1.11e+18,"3/16/19 11:06",1552734417,"nebraska iowa communities hit by devastating flood damage heres what you need to know saturday omaha world herald",0,"floods","en"
